,city,date,treat,price,rating,omtaler,gæster,soveværelser,other,cleaning products,hot water,washing machine,hangers,security,work,wi-fi,kitchen,refrigerator,parkering and faciliteter,smoking allowed,shampoo,blackout curtains,entertainment,gæster,hair dryer,temperature,family,attractions nearby,host,bed linen,outdoor,dishwasher,view,mailbox,fitness equipment,pool etc.,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
72,Madrid,2024-05-29,1,254.0,,,,20.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
73,Madrid,2024-05-29,1,189.0,4.36,28,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
74,Madrid,2024-05-29,1,202.0,5.0,10,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
75,Madrid,2024-05-29,1,193.0,4.75,8,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,7.5,7.0,7.5,5.25,8.75,3.75
76,Madrid,2024-05-29,1,158.0,4.94,17,2.0,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
77,Madrid,2024-05-29,1,132.0,5.0,12,,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
78,Madrid,2024-05-29,1,180.0,,,,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
79,Madrid,2024-05-29,1,184.0,4.71,7,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,,7.5,7.0,7.5,5.25,8.75,3.75
80,Madrid,2024-05-29,1,193.0,4.79,24,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
81,Madrid,2024-05-29,1,180.0,4.97,31,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
