,city,date,treat,price,rating,omtaler,gæster,soveværelser,hot water,hangers,bed linen,security,work,wi-fi,kitchen,parkering and faciliteter,hair dryer,other,cleaning products,shampoo,blackout curtains,entertainment,temperature,refrigerator,outdoor,gæster,attractions nearby,family,dishwasher,washing machine,view,smoking allowed,host,mailbox,fitness equipment,fireplace,pool etc.,Sights,Safety,Shopping,Location,Climate,Affordability
85,Lyon,2024-06-02,1,488,4.72,66,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
86,Lyon,2024-06-02,1,485,4.72,112,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
87,Lyon,2024-06-02,1,271,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,6.25,6.75,5.5,7.25,6.75,3.5
88,Lyon,2024-06-02,1,359,4.72,36,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
89,Lyon,2024-06-02,1,198,4.79,14,,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
90,Lyon,2024-06-02,1,404,4.89,36,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,6.25,6.75,5.5,7.25,6.75,3.5
91,Lyon,2024-06-02,1,333,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
92,Lyon,2024-06-02,1,450,4.83,6,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
93,Lyon,2024-06-02,1,307,4.75,4,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
94,Lyon,2024-06-02,1,530,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
95,Lyon,2024-06-02,1,296,4.90,51,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
96,Lyon,2024-06-02,1,477,4.88,58,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,6.25,6.75,5.5,7.25,6.75,3.5
97,Lyon,2024-06-02,1,450,4.79,14,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
98,Lyon,2024-06-02,1,494,4.10,10,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,2.0,,1.0,,1.0,,1.0,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
99,Lyon,2024-06-02,1,298,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
100,Lyon,2024-06-02,1,530,4.71,7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
101,Lyon,2024-06-02,1,216,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
102,Lyon,2024-06-02,1,402,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
103,Lyon,2024-06-02,1,296,4.67,9,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
104,Lyon,2024-06-02,1,437,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
105,Lyon,2024-06-02,1,404,4.87,163,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
