,city,date,treat,price,rating,omtaler,gæster,shampoo,underholdning,røgalarm,ting i nærheden,hårtørrer,sengetøj,familie,køleskab,tv,vaskemaskine,opvaskemasine,kaffe,Sights,Safety,Shopping,Location,Climate,Affordability
128,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
129,Hamburg,2024-07-23,1,536.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
130,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
131,Hamburg,2024-07-23,1,298.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
132,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
133,Hamburg,2024-07-23,1,261.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
134,Hamburg,2024-07-23,1,298.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
135,Hamburg,2024-07-23,1,671.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
136,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
137,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
138,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
139,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
140,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
141,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
142,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
143,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
144,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
145,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
146,Hamburg,2024-07-23,1,596.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
147,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
148,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
149,Hamburg,2024-07-23,1,365.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
150,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
151,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
152,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
153,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
154,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
155,Hamburg,2024-07-23,1,186.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
156,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
157,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
158,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
159,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
160,Hamburg,2024-07-23,1,559.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
161,Hamburg,2024-07-23,1,596.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
162,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
163,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
164,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
165,Hamburg,2024-07-23,1,335.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
166,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
167,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
168,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
169,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
170,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
171,Hamburg,2024-07-23,1,559.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
172,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
173,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
174,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
175,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
176,Hamburg,2024-07-23,1,663.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
177,Hamburg,2024-07-23,1,894.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
178,Hamburg,2024-07-23,1,127.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
179,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
180,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
181,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
182,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
183,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
184,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
185,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
186,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
187,Hamburg,2024-07-23,1,224.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
188,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
189,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
190,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
191,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
192,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
193,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
194,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
195,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
196,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
197,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
